GeneID	Length	ORF1_1_mapped_reads(7655775)	ORF1_1_IPTG_mapped_reads(7178582)	ORF1_2_mapped_reads(7706927)	ORF1_2_IPTG_mapped_reads(7070827)	Svi3_3_1_mapped_reads(8018710)	Svi3_3_1_IPTG_mapped_reads(8299205)	Svi3_3_2_mapped_reads(7313736)	Svi3_3_2_IPTG_mapped_reads(8344539)	WT1_IPTG_mapped_reads(8074159)	WT2_IPTG_mapped_reads(8103887)	ORF1_1_coverage	ORF1_1_IPTG_coverage	ORF1_2_coverage	ORF1_2_IPTG_coverage	Svi3_3_1_coverage	Svi3_3_1_IPTG_coverage	Svi3_3_2_coverage	Svi3_3_2_IPTG_coverage	WT1_IPTG_coverage	WT2_IPTG_coverage	ORF1_1_rpkm	ORF1_1_IPTG_rpkm	ORF1_2_rpkm	ORF1_2_IPTG_rpkm	Svi3_3_1_rpkm	Svi3_3_1_IPTG_rpkm	Svi3_3_2_rpkm	Svi3_3_2_IPTG_rpkm	WT1_IPTG_rpkm	WT2_IPTG_rpkm	Symbol	Description	KEGG Orthology	GO Component	GO Function	GO Process
b2220	1386	110	70	80	98	67	65	68	81	85	80	99.78%	93.8%	93.87%	90.04%	90.12%	96.54%	91.7%	93.94%	94.88%	97.11%	10.3666943405572	7.03551906282473	7.48937387366686	9.99983038859114	6.02846945961986	5.65084811105966	6.70820618382302	7.00356945321466	7.59553550129014	7.12251512392235	atoC	fused response regulator of ato operon, in two-component system with AtoS: response regulator/sigma54 interaction protein; 	K07714|1|0.0|862|eal:EAKF1_ch3768c|two-component system, NtrC family, response regulator AtoC	GO:0005737//cytoplasm	GO:0017111//nucleoside-triphosphatase activity;GO:0000156//phosphorelay response regulator activity;GO:0003677//DNA binding;GO:0005524//ATP binding;GO:0016740//transferase activity;GO:0003700//sequence-specific DNA binding transcription factor activity;GO:0008134//transcription factor binding	GO:0000160//phosphorelay signal transduction system;GO:0035556//intracellular signal transduction;GO:0045893//positive regulation of transcription, DNA-templated
b2594	981	2264	1677	1893	1637	1496	1804	2140	1890	2253	2496	99.9%	99.69%	99.69%	99.29%	99.69%	99.29%	99.39%	99.39%	99.49%	99.8%	301.4520585489	238.136183765005	250.380418623751	235.998618358271	190.177037927572	221.580242600162	298.267192382719	230.882197876618	284.442761856301	313.965694196533	rluD	23S rRNA pseudouridine(1911,1915,1917) synthase; 	K06180|1|1e-179|632|ssj:SSON53_16070|23S rRNA pseudouridine1911/1915/1917 synthase [EC:5.4.99.23]	-	GO:0009982//pseudouridine synthase activity;GO:0016798//hydrolase activity, acting on glycosyl bonds;GO:0003723//RNA binding;GO:0005515//protein binding;GO:0016829//lyase activity	GO:0000455//enzyme-directed rRNA pseudouridine synthesis;GO:0000027//ribosomal large subunit assembly
b0514	1146	117	38	57	51	55	81	87	83	110	114	97.73%	95.81%	94.15%	93.02%	95.38%	96.86%	97.56%	99.83%	97.99%	98.43%	13.335585337565	4.61913136376032	6.45370325880704	6.29383490800257	5.98512967761743	8.51655408828331	10.3799522387043	8.67942842262845	11.8880540245015	12.2751513922363	glxK	glycerate kinase II; 	K00865|1|0.0|674|edj:ECDH1ME8569_0498|glycerate kinase [EC:2.7.1.31]	-	GO:0005524//ATP binding;GO:0008887//glycerate kinase activity	GO:0009436//glyoxylate catabolic process;GO:0046296//glycolate catabolic process;GO:0031388//organic acid phosphorylation
b2008	1059	327	262	265	296	438	521	341	264	374	399	99.53%	99.53%	99.81%	99.62%	99.34%	99.53%	99.43%	99.15%	98.87%	99.34%	40.3331954881622	34.4640780833896	32.4689817051358	39.5298839481013	51.5790861262034	59.2796008728822	44.0270046080589	29.8748420616824	43.7399562805173	46.4925705705948	yeeA	putative transporter, FUSC family inner membrane protein; 	-	GO:0005886//plasma membrane;GO:0016021//integral component of membrane	-	GO:0006810//transport
b2750	606	1216	1833	525	3126	389	4640	726	4724	871	695	99.67%	99.67%	99.67%	99.83%	99.67%	99.83%	99.67%	99.83%	99.67%	99.67%	262.102877901454	421.357933258619	112.410125808038	729.535009353808	80.0520521903326	922.59025732798	163.80408070242	934.189358807454	178.011571158425	141.520320615113	cysC	adenosine 5'-phosphosulfate kinase; 	K00860|1|4e-111|403|sdz:Asd1617_03955|adenylylsulfate kinase [EC:2.7.1.25]	-	GO:0005524//ATP binding;GO:0016779//nucleotidyltransferase activity;GO:0004020//adenylylsulfate kinase activity	GO:0070814//hydrogen sulfide biosynthetic process;GO:0016310//phosphorylation;GO:0000103//sulfate assimilation
b2316	915	6826	6032	7040	5836	9205	6593	7593	6175	8281	8234	99.67%	99.89%	99.45%	99.89%	99.89%	99.89%	99.89%	99.45%	99.89%	99.89%	974.44207668296	918.335922996485	998.321259697705	902.036222425288	1254.5795133653	868.211410716366	1134.62677019484	808.748557563386	1120.89360935841	1110.44330996041	accD	acetyl-CoA carboxylase, beta (carboxyltransferase) subunit; 	K01963|1|7e-155|550|efe:EFER_0847|acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2]	GO:0005829//cytosol;GO:0009329	GO:0005515//protein binding;GO:0008270//zinc ion binding;GO:0003989//acetyl-CoA carboxylase activity;GO:0016740//transferase activity;GO:0003677//DNA binding;GO:0005524//ATP binding;GO:0003729//mRNA binding	GO:0017148//negative regulation of translation;GO:2001295//malonyl-CoA biosynthetic process;GO:0042759//long-chain fatty acid biosynthetic process
b1914	657	2616	2383	2670	2549	3754	2610	2446	2018	2956	3182	99.85%	99.54%	99.7%	99.7%	99.54%	99.54%	99.54%	99.54%	99.54%	99.24%	520.09563497064	505.265921078972	527.308347495606	548.699108152068	712.564843614311	478.672684880784	509.039874727476	368.089512280471	557.239331674344	597.642438552298	uvrY	response regulator in two-component regulatory system with BarA; 	K07689|1|1e-116|421|sbc:SbBS512_E1041|two-component system, NarL family, invasion response regulator UvrY	GO:0005737//cytoplasm	GO:0000156//phosphorelay response regulator activity;GO:0043565//sequence-specific DNA binding;GO:0003700//sequence-specific DNA binding transcription factor activity	GO:0000160//phosphorelay signal transduction system;GO:0035556//intracellular signal transduction;GO:0006355//regulation of transcription, DNA-templated
b0795	999	544	298	307	309	588	546	431	264	470	566	99.2%	99.1%	99.4%	99.6%	99.7%	99.9%	99.3%	99.4%	99.9%	99.8%	71.1285982862015	41.5539306089	39.8741686936061	43.7444317771188	73.4019048685622	65.8552893375385	58.9891994230352	31.6691268701919	58.2686655626265	69.9129401195459	ybhG	putative membrane fusion protein (MFP) component of efflux pump, membrane anchor; 	K01993|1|1e-148|529|edj:ECDH1ME8569_0748|HlyD family secretion protein	GO:0042597//periplasmic space;GO:0016020//membrane	-	GO:0055085//transmembrane transport
b1994	1017	52	46	54	49	70	56	34	34	52	68	87.61%	79.06%	78.56%	95.48%	89.87%	95.97%	80.04%	87.71%	91.64%	85.25%	6.67871989373951	6.30083654122003	6.88956118732451	6.81404371611962	8.58366144164603	6.63484194823397	4.5710785500387	4.0064120678501	6.33264427843118	8.25077194443748	insH1	IS5 transposase and trans-activator; 	K07481|1|0.0|687|amed:B224_5196|transposase, IS5 family	-	GO:0004803//transposase activity;GO:0003677//DNA binding	GO:0006313//transposition, DNA-mediated
b3943	906	124	127	157	132	199	166	175	214	154	184	96.91%	98.45%	98.23%	98.9%	99.34%	98.01%	98.79%	99.34%	99.23%	99.23%	17.8773987170934	19.5270598624493	22.4848611155858	20.6051377354319	27.391787346967	22.0771698081196	26.4101319615354	28.3063079347734	21.0520903718656	25.0608760618539	yijE	EamA-like transporter family protein; 	K15268|1|7e-19|98.2|pkc:PKB_4852|O-acetylserine/cysteine efflux transporter	GO:0016021//integral component of membrane;GO:0005886//plasma membrane	GO:0022857//transmembrane transporter activity	GO:0055085//transmembrane transport
b1102	2190	194	1857	843	411	228	151	184	175	156	170	92.92%	99.82%	99.91%	99.59%	99.5%	97.08%	99.68%	97.08%	99.18%	97.9%	11.5709349982	118.121546216154	49.9461726897524	26.5416241801295	12.9833338580764	8.30799717436763	11.4877355212415	9.57616421938788	8.82232771392398	9.57880715467228	fhuE	ferric-rhodotorulic acid outer membrane transporter; 	K16088|1|0.0|1461|elp:P12B_c2005|outer-membrane receptor for ferric coprogen and ferric-rhodotorulic acid	GO:0005886//plasma membrane;GO:0009279//cell outer membrane;GO:0016021//integral component of membrane	GO:0004872//receptor activity;GO:0015343//siderophore transmembrane transporter activity;GO:0005506//iron ion binding	GO:0044718//siderophore transmembrane transport
b0534	516	7	13	15	13	9	13	19	13	13	17	69.19%	79.46%	85.08%	86.05%	83.91%	96.51%	88.95%	63.76%	80.81%	88.76%	1.77198147449059	3.5095786952928	3.77190123143251	3.56306248895814	2.17514543674934	3.03568817129019	5.03459592010931	3.01919596152794	3.12030001509908	4.06542396680859	sfmF	FimA homolog, function unknown; 	K07355|1|2e-94|347|edj:ECDH1ME8569_0519|fimbrial-like protein	GO:0009289//pilus	-	GO:0007155//cell adhesion
b2306	774	1201	453	1150	952	1549	1167	1293	974	1354	1519	98.97%	99.35%	99.61%	98.84%	98.97%	98.84%	99.61%	98.71%	99.74%	99.48%	202.680928653638	81.5302127675713	192.786062939884	173.950537922469	249.577798631461	181.674261327982	228.41166753338	150.804967514267	216.660831817649	242.171725709108	hisP	histidine/lysine/arginine/ornithine transporter subunit; 	K10017|1|2e-134|481|ebe:B21_02191|histidine transport system ATP-binding protein [EC:3.6.3.21]	GO:0005886//plasma membrane	GO:0015426//polar-amino acid-transporting ATPase activity;GO:0015416//organic phosphonate transmembrane-transporting ATPase activity;GO:0005524//ATP binding	GO:0015817//histidine transport;GO:0000105//histidine biosynthetic process;GO:0006200//ATP catabolic process
b1447	450	355	505	378	385	377	287	250	316	225	265	99.56%	99.33%	99.56%	99.78%	99.33%	98.89%	99.56%	99.33%	99.56%	98.44%	103.044941745139	156.329233575966	108.992857983474	120.997947701953	104.477874593018	76.84805686542	75.9605700227019	84.1535071287009	61.9259541458126	72.6674605518178	ydcZ	DUF606 family inner membrane protein; 	K09936|1|2e-76|287|sbo:SBO_1601|bacterial/archaeal transporter family-2 protein	GO:0005886//plasma membrane;GO:0016021//integral component of membrane	-	GO:0006928//cellular component movement
b2735	768	138	160	122	166	166	190	127	118	190	155	96.22%	98.18%	95.7%	97.01%	97.01%	97.66%	99.74%	95.7%	97.92%	97.92%	23.4708439054178	29.021516134152	20.6118686042656	30.568677940124	26.9551877213833	29.8095821627895	22.6101384208199	18.4127407557605	30.6404460617302	24.9044583996133	ygbI	DeoR family putative transcriptional regulator; 	K03436|1|5e-49|197|pfl:PFL_3340|DeoR family transcriptional regulator, fructose operon transcriptional repressor	GO:0005622//intracellular	GO:0003700//sequence-specific DNA binding transcription factor activity;GO:0003677//DNA binding	GO:0006355//regulation of transcription, DNA-templated
b3924	747	674	858	715	720	1283	945	572	523	759	800	99.87%	99.87%	99.87%	99.87%	99.73%	99.6%	99.87%	99.87%	99.46%	99.87%	117.855575659636	160.002961240819	124.195023679135	136.314383266165	214.191162159793	152.431496867936	104.69746036864	83.9032412465886	125.841497179844	132.152690251089	fpr	ferredoxin-NADP reductase; 	K00528|1|2e-140|501|elp:P12B_c4039|ferredoxin--NADP+ reductase [EC:1.18.1.2]	GO:0005737//cytoplasm	GO:0004324//ferredoxin-NADP+ reductase activity	GO:0006001//fructose catabolic process;GO:0042493//response to drug;GO:0055114//oxidation-reduction process
b1932	480	53	80	130	57	125	68	77	50	90	93	97.71%	97.71%	96.88%	98.33%	98.33%	98.96%	98.96%	99.38%	99.17%	98.54%	14.4226635013002	23.2172129073216	35.1415464728462	16.7943580008392	32.4761297847991	17.0699081016395	21.9336145940552	12.4832140717021	23.2222328046797	23.9082800636287	yedL	putative acyl transferase; 	K03829|1|4e-89|329|edj:ECDH1ME8569_1872|putative acetyltransferase [EC:2.3.1.-]	-	GO:0008080//N-acetyltransferase activity	-
b0878	1116	457	383	418	321	792	665	588	381	743	718	98.66%	99.55%	99.1%	98.66%	99.37%	99.64%	99.64%	99.46%	99.55%	99.55%	53.4887987023266	47.8074867930332	48.5993926406939	40.6790335277826	88.5026917490268	71.7994237039231	72.0400244731431	40.9127274091913	82.4569604486358	79.3901957945909	macA	macrolide transporter subunit, membrane fusion protein (MFP) component; 	K13888|1|0.0|685|edh:EcDH1_2764|membrane fusion protein, macrolide-specific efflux system	GO:0005886//plasma membrane;GO:0019898//extrinsic component of membrane	GO:0022891//substrate-specific transmembrane transporter activity	GO:0046618//drug export;GO:0046677//response to antibiotic;GO:0055085//transmembrane transport
b0740	1293	10577	8332	10196	8573	11793	9021	10531	8709	11048	11396	99.92%	99.85%	99.92%	99.92%	99.92%	99.92%	99.92%	99.92%	99.92%	99.92%	1068.5007177919	897.660408091897	1023.17532132683	937.70036970697	1137.42106298546	840.658610535769	1113.60663049987	807.174469423319	1058.24894261862	1087.57831342011	tolB	periplasmic protein; 	K03641|1|0.0|864|ssj:SSON53_03705|TolB protein	GO:0016020//membrane;GO:0030288//outer membrane-bounded periplasmic space	GO:0005515//protein binding	GO:0017038//protein import;GO:0043213;GO:0006508//proteolysis
b3532	2340	423	237	287	278	233	272	322	321	361	368	99.32%	99.66%	99.32%	99.02%	99.36%	98.97%	99.23%	99.23%	99.83%	99.62%	23.6121399556845	14.1089216898339	15.9141993494388	16.8019128177537	12.4175396756647	14.0060784423708	18.8148488825462	16.4394326851953	19.1070679031097	19.4061142837946	bcsB	regulator of cellulose synthase, cyclic di-GMP binding; 	K00694|1|8e-99|365|sjp:SJA_C2-05450|cellulose synthase (UDP-forming) [EC:2.4.1.12]	GO:0005886//plasma membrane;GO:0016021//integral component of membrane	-	GO:0006011//UDP-glucose metabolic process;GO:0030244//cellulose biosynthetic process
b3319	606	37816	24147	34411	21917	39252	24997	37818	43305	39070	36598	99.83%	99.83%	99.83%	99.83%	99.83%	99.83%	99.83%	99.83%	99.83%	99.83%	8151.05463052746	5550.75287201084	7367.89493177219	5114.91324376437	8077.64306574533	4970.25617724731	8532.70347658972	8563.73204554547	7984.9736913429	7452.31754513944	rplD	50S ribosomal subunit protein L4; 	K02926|1|4e-106|386|ebf:D782_0380|large subunit ribosomal protein L4	GO:0005840//ribosome	GO:0030371//translation repressor activity;GO:0019843//rRNA binding;GO:0003735//structural constituent of ribosome	GO:0017148//negative regulation of translation;GO:0046677//response to antibiotic;GO:0006355//regulation of transcription, DNA-templated;GO:0006353//DNA-templated transcription, termination
b0116	1425	13531	15320	18751	13820	18758	11387	12543	11195	11963	13090	99.93%	99.86%	99.93%	99.93%	99.93%	99.93%	99.86%	99.93%	99.93%	99.93%	1240.29750044786	1497.63242837965	1707.37266503602	1371.58575850252	1641.59930611405	962.848512957862	1203.50327974074	941.470865062431	1039.74763431068	1133.52578981922	lpd	lipoamide dehydrogenase, E3 component is part of three enzyme complexes; 	K00382|1|0.0|907|sbc:SbBS512_E0109|dihydrolipoamide dehydrogenase [EC:1.8.1.4]	GO:0005829//cytosol;GO:0005886//plasma membrane	GO:0008270//zinc ion binding;GO:0042802//identical protein binding;GO:0050660//flavin adenine dinucleotide binding;GO:0004148//dihydrolipoyl dehydrogenase activity;GO:0015036//disulfide oxidoreductase activity	GO:0055114//oxidation-reduction process;GO:0019464//glycine decarboxylation via glycine cleavage system;GO:0006103//2-oxoglutarate metabolic process;GO:0006090//pyruvate metabolic process;GO:0045454//cell redox homeostasis;GO:0006096//glycolytic process
b0752	942	399	423	466	343	935	719	558	406	602	674	98.83%	99.26%	99.26%	98.94%	99.58%	99.89%	97.88%	99.79%	99.58%	99.79%	55.3264534264515	62.553382546478	64.1879888538808	51.4959418418849	123.781630975948	91.9690065573531	80.9923530050974	51.650292108138	79.1495210101469	88.2908335751566	zitB	zinc efflux system; 	K16264|1|4e-145|517|sdz:Asd1617_00875|cobalt-zinc-cadmium efflux system protein	GO:0005886//plasma membrane;GO:0016021//integral component of membrane	GO:0005385//zinc ion transmembrane transporter activity	GO:0071577//zinc ion transmembrane transport
b3657	1383	49	31	27	21	56	38	34	23	39	55	94.94%	88.07%	80.4%	57.63%	97.76%	94.79%	78.45%	73.97%	95.73%	96.46%	4.62790823272597	3.12248850380464	2.53314668384274	2.14746899885146	5.04965072228721	3.31073884324256	3.36137880360763	1.99298168259712	3.49257008197641	4.90735111981743	yicJ	putative transporter; 	K03292|1|0.0|904|ecol:LY180_18835|glycoside/pentoside/hexuronide:cation symporter, GPH family	GO:0016021//integral component of membrane;GO:0005886//plasma membrane	GO:0015293//symporter activity	GO:0006814//sodium ion transport;GO:0008643//carbohydrate transport
b2671	345	58	82	51	105	121	109	79	38	54	90	95.94%	96.52%	97.1%	97.68%	96.23%	94.49%	98.55%	92.46%	97.68%	97.1%	21.9593629683455	33.1097644939195	19.1809377403629	43.0427481943705	43.7382867919103	38.0689510604338	31.3089653832702	13.1996420097302	19.3855160804283	32.190671614423	ygaC	uncharacterized protein; 	-	-	-	-
b3066	1746	3830	2542	3392	2007	2687	2888	4539	3649	4665	4641	99.43%	99.77%	99.94%	99.54%	99.83%	99.83%	99.77%	99.77%	99.89%	99.94%	286.526881721999	202.811529932686	252.075338378841	162.567198445454	191.919418791489	199.304202941317	355.448481786643	250.45359806263	330.910167342744	328.000082105608	dnaG	DNA primase; 	K02316|1|0.0|1136|ssj:SSON53_18720|DNA primase [EC:2.7.7.-]	GO:0005658//alpha DNA polymerase:primase complex;GO:0005737//cytoplasm	GO:0008270//zinc ion binding;GO:0003896//DNA primase activity;GO:0003677//DNA binding	GO:0006269//DNA replication, synthesis of RNA primer
b4526	171	4	4	-	5	-	2	-	-	1	1	70.76%	86.55%	-	90.06%	-	80.7%	-	-	58.48%	58.48%	3.05544675300634	3.25855619751882	-	4.13526820580836	-	1.40928033862864	-	-	0.7242801654481	0.721623242818449	ydaE	Rac prophage; conserved protein; 	-	-	GO:0008270//zinc ion binding	-
b4497	1053	30	22	29	19	22	40	17	19	29	37	92.4%	81.1%	90.69%	80.34%	94.59%	77.11%	77.02%	62.96%	83.76%	95.25%	3.72137745558464	2.91041985163006	3.57345552561925	2.55184926888345	2.60549234968645	4.57714981776825	2.20740118014689	2.16233451726349	3.41092624924704	4.33590717693478	yeeL	-	-	-	GO:0016757//transferase activity, transferring glycosyl groups	GO:0008152//metabolic process
b1708	465	869	717	721	654	1497	1173	966	652	1005	1063	99.57%	99.35%	99.35%	99.35%	99.78%	99.57%	99.78%	99.78%	99.78%	99.78%	244.105554865585	214.796666510317	201.187533553724	198.909068614354	401.480392570585	303.954492648548	284.043525065536	168.032115091608	267.679930823835	282.089509068468	nlpC	putative C40 clan peptidase lipoprotein; 	K13695|1|1e-86|320|ecoa:APECO78_12365|probable lipoprotein NlpC	GO:0005886//plasma membrane	GO:0008234//cysteine-type peptidase activity	GO:0006508//proteolysis
b4144	354	1089	1248	1192	1206	2292	1628	1166	1050	1263	1422	99.72%	99.15%	99.15%	99.15%	99.72%	99.44%	99.44%	98.87%	99.72%	99.72%	401.823615041022	491.103079802329	436.909761623288	481.807808480811	807.433648452986	554.13380637027	450.356057524426	355.454231194228	441.878418565883	495.68178240175	yjeI	DUF4156 family lipoprotein; 	-	-	-	GO:0006974//cellular response to DNA damage stimulus
b1116	1200	1047	889	1182	844	722	734	868	951	1041	1126	99.92%	99.5%	99.42%	99.08%	99.42%	99.83%	99.33%	99.58%	99.67%	99.83%	113.966254232916	103.200511373045	127.807101325859	99.4697414225144	75.0328502547999	73.7018385094315	98.9006621695578	94.9722926575093	107.441530442985	115.788057426434	lolC	lipoprotein-releasing system transmembrane protein; 	K09808|1|0.0|691|ssj:SSON53_06090|lipoprotein-releasing system permease protein	GO:0043234//protein complex;GO:0005887//integral component of plasma membrane	GO:0042954//lipoprotein transporter activity	GO:0042953//lipoprotein transport
b4075	384	4	4	4	13	10	6	7	9	14	11	68.75%	71.61%	59.64%	94.53%	92.19%	74.74%	81.77%	97.66%	80.73%	89.32%	1.36062863219813	1.4510758067076	1.35159794126332	4.7878652195375	3.24761297847991	1.8827104523867	2.49245620386991	2.80872316613296	4.5154341564655	3.53482635349349	nrfF	heme lyase (NrfEFG) for insertion of heme into c552, subunit NrfF; 	K04017|1|2e-46|187|ecol:LY180_21400|formate-dependent nitrite reductase complex subunit NrfF	GO:0042597//periplasmic space	GO:0046872//metal ion binding;GO:0016829//lyase activity	GO:0018378
b3650	2109	6090	5050	6538	4596	4416	5606	6265	6059	6601	6863	99.86%	99.86%	99.86%	99.86%	99.81%	99.86%	99.86%	99.81%	99.86%	99.86%	377.182514712336	333.561664813582	402.241699686125	308.200421738842	261.12471420481	320.28752344671	406.167542980564	344.288109521219	387.646489631587	401.554079632136	spoT	bifunctional (p)ppGpp synthetase II/ guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase; 	K01139|1|0.0|1363|sbc:SbBS512_E4101|guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase [EC:3.1.7.2]	GO:0005737//cytoplasm	GO:0046872//metal ion binding;GO:0008728//GTP diphosphokinase activity;GO:0008893//guanosine-3',5'-bis(diphosphate) 3'-diphosphatase activity;GO:0008081//phosphoric diester hydrolase activity;GO:0016301//kinase activity	GO:0015970;GO:0042594//response to starvation;GO:0016310//phosphorylation;GO:0015949//nucleobase-containing small molecule interconversion
b3949	1080	12	7	14	14	10	11	9	9	16	17	64.17%	40.93%	33.43%	86.11%	50.37%	47.5%	46.57%	65.83%	75.46%	70.37%	1.45133720767801	0.902891613062508	1.68198854912768	1.83330223790838	1.15470683679286	1.22724829488911	1.13940855034053	0.998657125736165	1.83484308580185	1.94236922858632	frwC	putative enzyme IIC component of PTS; 	K11203|1|5e-171|603|sdz:Asd1617_04976|PTS system, fructose-specific IIC-like component	GO:0005886//plasma membrane;GO:0016021//integral component of membrane	GO:0005351//sugar:proton symporter activity;GO:0008982//protein-N(PI)-phosphohistidine-sugar phosphotransferase activity	GO:0009401//phosphoenolpyruvate-dependent sugar phosphotransferase system
b0419	975	1675	1307	1124	1391	1985	2243	1603	1420	1908	2011	99.79%	99.69%	99.79%	99.9%	99.79%	99.79%	99.9%	99.79%	99.79%	99.79%	224.399060571754	186.737829353042	149.582383850335	201.768006297802	253.8933863299	277.196770113863	224.79654230103	174.534537667121	242.368657456842	254.515407552462	yajO	2-carboxybenzaldehyde reductase; 	K05882|1|3e-115|418|bur:Bcep18194_B1321|aryl-alcohol dehydrogenase (NADP+) [EC:1.1.1.91]	-	GO:0016491//oxidoreductase activity	GO:0055114//oxidation-reduction process;GO:0006772//thiamine metabolic process
b0936	960	34	84	38	196	18	53	14	133	27	20	85.52%	98.44%	98.75%	99.69%	85.73%	96.56%	75.42%	98.75%	79.9%	90.83%	4.62613734947365	12.1890367763439	5.1360721768006	28.8745102470569	2.33828134450554	6.65224359843302	1.99396496309592	16.6026747153637	3.48333492070196	2.57078280254072	ssuA	aliphatic sulfonate binding protein, SsuABC ABC transporter; 	K15553|1|2e-177|625|elp:P12B_c0923|sulfonate transport system substrate-binding protein	GO:0030288//outer membrane-bounded periplasmic space;GO:0043190//ATP-binding cassette (ABC) transporter complex	GO:0042959	GO:0006790//sulfur compound metabolic process;GO:0042918
b1292	891	312	194	257	164	134	210	242	228	286	259	99.44%	98.99%	99.55%	99.55%	97.42%	96.07%	99.44%	99.21%	97.87%	98.65%	45.7391119995494	30.3309044041777	37.4260655520186	26.0313045036341	18.7552383188173	28.3991340966075	37.1362786777654	30.6658349721004	39.7549335257068	35.8697775546423	sapC	antimicrobial peptide transport ABC transporter permease; 	K19228|1|1e-155|552|sbc:SbBS512_E1528|cationic peptide transport system permease protein	GO:0016021//integral component of membrane;GO:0005886//plasma membrane	GO:0005215//transporter activity	GO:0015031//protein transport;GO:0015833//peptide transport
b0559	207	12	7	9	10	23	19	17	15	23	20	88.41%	61.35%	93.24%	91.79%	86.96%	97.58%	93.72%	94.69%	93.24%	86.47%	7.5721941270157	4.71073885076091	5.64145227657732	6.83218225307469	13.8564820415143	11.0597870053248	11.2289538294429	8.68397500640144	13.7613231435139	11.9224709683048	ybcW	DLP12 prophage; uncharacterized protein; 	-	-	-	-
b2638	153	10	18	22	12	16	22	12	16	19	15	90.85%	96.73%	97.39%	95.42%	94.77%	94.12%	84.97%	92.81%	94.12%	95.42%	8.53727769222358	16.3886208757564	18.6573519735172	11.0922488344036	13.0413948626017	17.3258582807875	10.7238451796756	12.5321678523754	15.3803023368685	12.097801423721	yfjU	-	K00537|1|5e-23|109|edj:ECDH1ME8569_2557|arsenate reductase [EC:1.20.4.1]	-	GO:0008794//arsenate reductase (glutaredoxin) activity	GO:0055114//oxidation-reduction process
b0014	1917	25311	34276	20129	22412	22496	18572	16683	11616	25814	24122	99.95%	99.95%	99.95%	99.95%	99.95%	99.95%	99.95%	99.95%	99.95%	99.95%	1724.63831284216	2490.74550739079	1362.44456762137	1653.43942680091	1463.45267608406	1167.34726415778	1189.90628139787	726.159697812288	1667.76899355243	1552.73672019749	dnaK	chaperone Hsp70, with co-chaperone DnaJ; 	K04043|1|0.0|1137|sdz:Asd1617_00014|molecular chaperone DnaK	GO:0005737//cytoplasm;GO:0005886//plasma membrane	GO:0043531//ADP binding;GO:0008270//zinc ion binding;GO:0051087//chaperone binding;GO:0016491//oxidoreductase activity;GO:0005524//ATP binding;GO:0019904//protein domain specific binding;GO:0051082//unfolded protein binding	GO:0055114//oxidation-reduction process;GO:0070389//chaperone cofactor-dependent protein refolding;GO:0051085//chaperone mediated protein folding requiring cofactor;GO:0034620//cellular response to unfolded protein;GO:0006260//DNA replication;GO:0043241//protein complex disassembly;GO:0009408//response to heat;GO:0006461//protein complex assembly;GO:0043335//protein unfolding
b2127	732	431	421	290	470	440	432	329	311	307	412	99.73%	99.32%	99.18%	99.59%	99.04%	99.18%	99.18%	99.32%	99.04%	99.86%	76.9089758003142	80.1184150326426	51.4050364546048	90.806422322628	74.9612962901593	71.1108997098191	61.4533464036121	50.9151419842537	51.9433549802308	69.453279648969	mlrA	transcriptional activator of csgD and csgBA; 	K03713|1|5e-07|58.2|siz:SI82_08965|MerR family transcriptional regulator, glutamine synthetase repressor	-	GO:0003700//sequence-specific DNA binding transcription factor activity;GO:0003677//DNA binding;GO:0000166//nucleotide binding	GO:0006355//regulation of transcription, DNA-templated
b2175	567	4632	3287	5229	3764	5353	4293	5181	5723	5207	5389	99.65%	99.65%	99.65%	99.65%	99.65%	99.65%	99.65%	99.65%	99.82%	99.65%	1067.07840412136	807.56591350652	1196.61471066512	938.850288909813	1177.36108520994	912.307693499386	1249.37051837339	1209.59041917208	1137.38427949646	1172.82103897498	mepS	murein DD-endopeptidase, space-maker hydrolase, mutational suppressor of prc thermosensitivity, outer membrane lipoprotein; 	K13694|1|3e-102|373|sdz:Asd1617_01139|lipoprotein Spr	GO:0009279//cell outer membrane;GO:0005886//plasma membrane	GO:0004175//endopeptidase activity;GO:0008234//cysteine-type peptidase activity	GO:0000270//peptidoglycan metabolic process;GO:0006508//proteolysis
b3585	975	118	116	122	126	112	167	79	121	75	147	99.08%	98.97%	99.18%	99.28%	99.79%	98.67%	99.08%	99.18%	95.18%	99.38%	15.8084114313235	16.5735181369188	16.2358103467446	18.2766130794558	14.3254706644579	20.638368528317	11.0785569817725	14.8723091955786	9.52706986858655	18.6045573894639	yiaU	putative DNA-binding transcriptional regulator; 	K10918|1|5e-15|85.5|esa:ESA_03360|LysR family transcriptional regulator, transcriptional activator AphB;K18900|2|5e-13|79.0|hoe:IMCC20628_02581|LysR family transcriptional regulator, regulator for bpeEF and oprC;K16135|3|6e-13|78.6|bge:BC1002_3585|LysR family transcriptional regulator, transcriptional activator for dmlA	-	GO:0003700//sequence-specific DNA binding transcription factor activity;GO:0003677//DNA binding	GO:0006355//regulation of transcription, DNA-templated
